       value	     chindex	     chlabel	        bini	  binlabel	ERPset
      -7.295	           1	        E104	         306	04_:_30106	
       8.672	           1	        E104	         307	04_:_30107	
      -2.583	           1	        E104	         308	04_:_30108	
     -15.162	           1	        E104	         309	04_:_30109	
       6.987	           1	        E104	         310	04_:_30110	
      29.550	           1	        E104	         311	04_:_30201	
     -20.307	           1	        E104	         312	04_:_30202	
     -14.172	           1	        E104	         313	04_:_30203	
      24.085	           1	        E104	         314	04_:_30204	
      -8.918	           1	        E104	         315	04_:_30205	
      12.795	           1	        E104	         316	04_:_30206	
     -19.913	           1	        E104	         317	04_:_30207	
       1.821	           1	        E104	         318	04_:_30208	
     -22.783	           1	        E104	         319	04_:_30209	
     -19.771	           1	        E104	         320	04_:_30210	
     -27.638	           1	        E104	         321	04_:_30301	
     -38.458	           1	        E104	         322	04_:_30302	
      -6.703	           1	        E104	         323	04_:_30303	
     -16.555	           1	        E104	         324	04_:_30304	
     -35.014	           1	        E104	         325	04_:_30305	
      11.419	           1	        E104	         326	04_:_30306	
      20.850	           1	        E104	         327	04_:_30307	
       5.844	           1	        E104	         328	04_:_30308	
      14.666	           1	        E104	         329	04_:_30309	
      14.901	           1	        E104	         330	04_:_30310	
     -23.496	           1	        E104	         331	04_:_30401	
     -47.295	           1	        E104	         332	04_:_30402	
     -12.359	           1	        E104	         333	04_:_30403	
      29.120	           1	        E104	         334	04_:_30404	
      40.592	           1	        E104	         335	04_:_30405	
      13.717	           1	        E104	         336	04_:_30406	
     -10.179	           1	        E104	         337	04_:_30407	
      12.446	           1	        E104	         338	04_:_30408	
      17.151	           1	        E104	         339	04_:_30409	
      46.202	           1	        E104	         340	04_:_30410	
      20.495	           1	        E104	         341	04_:_30501	
      47.173	           1	        E104	         342	04_:_30502	
       4.591	           1	        E104	         343	04_:_30503	
     -23.710	           1	        E104	         344	04_:_30504	
      19.540	           1	        E104	         345	04_:_30505	
     -14.002	           1	        E104	         346	04_:_30506	
      24.508	           1	        E104	         347	04_:_30507	
      11.709	           1	        E104	         348	04_:_30508	
      24.435	           1	        E104	         349	04_:_30509	
     -30.848	           1	        E104	         350	04_:_30510	
     -29.513	           1	        E104	         351	04_:_60101	
      11.064	           1	        E104	         352	04_:_60102	
      -7.848	           1	        E104	         353	04_:_60103	
     -29.411	           1	        E104	         354	04_:_60104	
     -18.146	           1	        E104	         355	04_:_60105	
     -10.205	           1	        E104	         356	04_:_60106	
     -47.491	           1	        E104	         357	04_:_60107	
      -4.740	           1	        E104	         358	04_:_60108	
     -10.986	           1	        E104	         359	04_:_60109	
      -3.656	           1	        E104	         360	04_:_60110	
      -6.416	           1	        E104	         361	04_:_60201	
       0.599	           1	        E104	         362	04_:_60202	
       5.638	           1	        E104	         363	04_:_60203	
      14.853	           1	        E104	         364	04_:_60204	
     -58.376	           1	        E104	         365	04_:_60205	
     -49.758	           1	        E104	         366	04_:_60206	
       4.368	           1	        E104	         367	04_:_60207	
     -28.611	           1	        E104	         368	04_:_60208	
       8.203	           1	        E104	         369	04_:_60209	
      13.995	           1	        E104	         370	04_:_60210	
      -2.930	           1	        E104	         371	04_:_60301	
      13.108	           1	        E104	         372	04_:_60302	
       3.677	           1	        E104	         373	04_:_60303	
     -43.098	           1	        E104	         374	04_:_60304	
     -34.208	           1	        E104	         375	04_:_60305	
     -25.364	           1	        E104	         376	04_:_60306	
     -26.923	           1	        E104	         377	04_:_60307	
     -21.294	           1	        E104	         378	04_:_60308	
     -24.925	           1	        E104	         379	04_:_60309	
     -25.107	           1	        E104	         380	04_:_60310	
      19.076	           1	        E104	         381	04_:_60401	
     -11.631	           1	        E104	         382	04_:_60402	
      -4.781	           1	        E104	         383	04_:_60403	
     -17.227	           1	        E104	         384	04_:_60404	
       1.151	           1	        E104	         385	04_:_60405	
      -1.717	           1	        E104	         386	04_:_60406	
     -11.118	           1	        E104	         387	04_:_60407	
       2.735	           1	        E104	         388	04_:_60408	
      12.909	           1	        E104	         389	04_:_60409	
     -28.568	           1	        E104	         390	04_:_60410	
     -31.442	           1	        E104	         391	04_:_60501	
      17.386	           1	        E104	         392	04_:_60502	
      -7.029	           1	        E104	         393	04_:_60503	
      -0.525	           1	        E104	         394	04_:_60504	
       1.458	           1	        E104	         395	04_:_60505	
     -30.126	           1	        E104	         396	04_:_60506	
      11.232	           1	        E104	         397	04_:_60507	
       1.138	           1	        E104	         398	04_:_60508	
     -10.961	           1	        E104	         399	04_:_60509	
       4.107	           1	        E104	         400	04_:_60510	
     -17.869	           1	        E104	         401	05_:_30101	
      -2.472	           1	        E104	         402	05_:_30102	
      -4.781	           1	        E104	         403	05_:_30103	
     -62.102	           1	        E104	         404	05_:_30104	
     -28.081	           1	        E104	         405	05_:_30105	
      -4.449	           1	        E104	         406	05_:_30106	
      -3.604	           1	        E104	         407	05_:_30107	
     -10.066	           1	        E104	         408	05_:_30108	
       2.536	           1	        E104	         409	05_:_30109	
     -23.523	           1	        E104	         410	05_:_30110	
     -60.987	           1	        E104	         411	05_:_30201	
     -33.172	           1	        E104	         412	05_:_30202	
      -6.543	           1	        E104	         413	05_:_30203	
       0.395	           1	        E104	         414	05_:_30204	
     -58.601	           1	        E104	         415	05_:_30205	
     -12.528	           1	        E104	         416	05_:_30206	
       1.174	           1	        E104	         417	05_:_30207	
      23.237	           1	        E104	         418	05_:_30208	
     -16.819	           1	        E104	         419	05_:_30209	
       8.986	           1	        E104	         420	05_:_30210	
      36.925	           1	        E104	         421	05_:_30301	
      -7.553	           1	        E104	         422	05_:_30302	
     -23.630	           1	        E104	         423	05_:_30303	
     -17.194	           1	        E104	         424	05_:_30304	
     -33.865	           1	        E104	         425	05_:_30305	
     -26.962	           1	        E104	         426	05_:_30306	
      13.042	           1	        E104	         427	05_:_30307	
     -14.495	           1	        E104	         428	05_:_30308	
     -18.421	           1	        E104	         429	05_:_30309	
       9.979	           1	        E104	         430	05_:_30310	
      42.585	           1	        E104	         431	05_:_30401	
     -15.680	           1	        E104	         432	05_:_30402	
      -1.735	           1	        E104	         433	05_:_30403	
      16.209	           1	        E104	         434	05_:_30404	
     -23.758	           1	        E104	         435	05_:_30405	
      51.609	           1	        E104	         436	05_:_30406	
      36.901	           1	        E104	         437	05_:_30407	
      23.479	           1	        E104	         438	05_:_30408	
       2.478	           1	        E104	         439	05_:_30409	
      48.261	           1	        E104	         440	05_:_30410	
     -31.417	           1	        E104	         441	05_:_30501	
       7.132	           1	        E104	         442	05_:_30502	
      43.127	           1	        E104	         443	05_:_30503	
       8.359	           1	        E104	         444	05_:_30504	
      12.364	           1	        E104	         445	05_:_30505	
      -2.960	           1	        E104	         446	05_:_30506	
      -3.216	           1	        E104	         447	05_:_30507	
     -21.356	           1	        E104	         448	05_:_30508	
      16.969	           1	        E104	         449	05_:_30509	
      27.217	           1	        E104	         450	05_:_30510	
     -11.027	           1	        E104	         451	05_:_60101	
     -19.922	           1	        E104	         452	05_:_60102	
      16.488	           1	        E104	         453	05_:_60103	
     -32.935	           1	        E104	         454	05_:_60104	
      -8.516	           1	        E104	         455	05_:_60105	
     -48.612	           1	        E104	         456	05_:_60106	
     -14.391	           1	        E104	         457	05_:_60107	
     -28.560	           1	        E104	         458	05_:_60108	
     -11.604	           1	        E104	         459	05_:_60109	
       0.592	           1	        E104	         460	05_:_60110	
      -9.816	           1	        E104	         461	05_:_60201	
       1.795	           1	        E104	         462	05_:_60202	
     -17.527	           1	        E104	         463	05_:_60203	
       8.064	           1	        E104	         464	05_:_60204	
     -30.623	           1	        E104	         465	05_:_60205	
      11.928	           1	        E104	         466	05_:_60206	
     -49.338	           1	        E104	         467	05_:_60207	
     -33.973	           1	        E104	         468	05_:_60208	
     -40.111	           1	        E104	         469	05_:_60209	
      -8.745	           1	        E104	         470	05_:_60210	
     -19.986	           1	        E104	         471	05_:_60301	
       1.170	           1	        E104	         472	05_:_60302	
     -27.957	           1	        E104	         473	05_:_60303	
       9.529	           1	        E104	         474	05_:_60304	
     -13.157	           1	        E104	         475	05_:_60305	
      -6.754	           1	        E104	         476	05_:_60306	
     -10.697	           1	        E104	         477	05_:_60307	
      10.328	           1	        E104	         478	05_:_60308	
      16.549	           1	        E104	         479	05_:_60309	
     -40.151	           1	        E104	         480	05_:_60310	
      24.665	           1	        E104	         481	05_:_60401	
      19.575	           1	        E104	         482	05_:_60402	
     -17.210	           1	        E104	         483	05_:_60403	
     -27.442	           1	        E104	         484	05_:_60404	
      36.757	           1	        E104	         485	05_:_60405	
      26.436	           1	        E104	         486	05_:_60406	
      -9.133	           1	        E104	         487	05_:_60407	
      -2.281	           1	        E104	         488	05_:_60408	
     -20.831	           1	        E104	         489	05_:_60409	
       3.656	           1	        E104	         490	05_:_60410	
     -21.103	           1	        E104	         491	05_:_60501	
      25.105	           1	        E104	         492	05_:_60502	
     -10.712	           1	        E104	         493	05_:_60503	
     -26.243	           1	        E104	         494	05_:_60504	
       1.475	           1	        E104	         495	05_:_60505	
     -30.106	           1	        E104	         496	05_:_60506	
      23.476	           1	        E104	         497	05_:_60507	
       1.162	           1	        E104	         498	05_:_60508	
      15.362	           1	        E104	         499	05_:_60509	
      29.515	           1	        E104	         500	05_:_60510	
     -12.601	           1	        E104	         501	06_:_30101	
     -18.200	           1	        E104	         502	06_:_30102	
       0.057	           1	        E104	         503	06_:_30103	
       7.100	           1	        E104	         504	06_:_30104	
     -16.185	           1	        E104	         505	06_:_30105	
     -15.045	           1	        E104	         506	06_:_30106	
      13.600	           1	        E104	         507	06_:_30107	
     -12.710	           1	        E104	         508	06_:_30108	
     -11.250	           1	        E104	         509	06_:_30109	
       9.920	           1	        E104	         510	06_:_30110	
     -32.798	           1	        E104	         511	06_:_30201	
       5.285	           1	        E104	         512	06_:_30202	
      -4.706	           1	        E104	         513	06_:_30203	
     -33.805	           1	        E104	         514	06_:_30204	
     -26.782	           1	        E104	         515	06_:_30205	
     -13.991	           1	        E104	         516	06_:_30206	
      40.438	           1	        E104	         517	06_:_30207	
     -45.297	           1	        E104	         518	06_:_30208	
     -19.969	           1	        E104	         519	06_:_30209	
       4.676	           1	        E104	         520	06_:_30210	
     -14.694	           1	        E104	         521	06_:_30301	
